img_a,img_b,label_a,label_b,dist
benign (1).png,benign (318).png,benign,benign,2
benign (10).png,benign (327).png,benign,benign,0
benign (105).png,benign (156).png,benign,benign,0
benign (11).png,benign (328).png,benign,benign,4
benign (12).png,benign (329).png,benign,benign,2
benign (127).png,benign (37).png,benign,benign,0
benign (128).png,benign (30).png,benign,benign,2
benign (129).png,benign (44).png,benign,benign,2
benign (13).png,benign (330).png,benign,benign,2
benign (131).png,benign (42).png,benign,benign,2
benign (131).png,malignant (51).png,benign,malignant,2
benign (132).png,benign (38).png,benign,benign,2
benign (133).png,benign (51).png,benign,benign,2
benign (134).png,benign (52).png,benign,benign,4
benign (135).png,benign (58).png,benign,benign,0
benign (136).png,benign (50).png,benign,benign,4
benign (138).png,benign (60).png,benign,benign,4
benign (139).png,benign (157).png,benign,benign,0
benign (139).png,benign (65).png,benign,benign,0
benign (139).png,benign (99).png,benign,benign,2
benign (14).png,benign (331).png,benign,benign,0
benign (15).png,benign (332).png,benign,benign,0
benign (150).png,benign (19).png,benign,benign,2
benign (151).png,benign (16).png,benign,benign,2
benign (152).png,benign (18).png,benign,benign,0
benign (153).png,benign (25).png,benign,benign,4
benign (157).png,benign (65).png,benign,benign,0
benign (157).png,benign (99).png,benign,benign,2
benign (163).png,benign (86).png,benign,benign,2
benign (164).png,benign (85).png,benign,benign,0
benign (164).png,malignant (52).png,benign,malignant,2
benign (17).png,benign (425).png,benign,benign,2
benign (177).png,benign (35).png,benign,benign,0
benign (197).png,benign (81).png,benign,benign,4
benign (199).png,benign (248).png,benign,benign,4
benign (2).png,benign (319).png,benign,benign,4
benign (200).png,benign (274).png,benign,benign,4
benign (200).png,benign (290).png,benign,benign,4
benign (202).png,benign (301).png,benign,benign,2
benign (203).png,benign (273).png,benign,benign,2
benign (203).png,benign (289).png,benign,benign,2
benign (204).png,benign (249).png,benign,benign,0
benign (204).png,benign (282).png,benign,benign,2
benign (205).png,benign (262).png,benign,benign,4
benign (206).png,benign (303).png,benign,benign,4
benign (207).png,benign (256).png,benign,benign,2
benign (208).png,benign (291).png,benign,benign,4
benign (209).png,benign (275).png,benign,benign,4
benign (209).png,benign (297).png,benign,benign,2
benign (210).png,benign (298).png,benign,benign,0
benign (211).png,benign (254).png,benign,benign,2
benign (213).png,benign (253).png,benign,benign,4
benign (214).png,benign (260).png,benign,benign,2
benign (214).png,benign (281).png,benign,benign,4
benign (215).png,benign (270).png,benign,benign,2
benign (216).png,benign (265).png,benign,benign,0
benign (217).png,benign (268).png,benign,benign,2
benign (218).png,benign (296).png,benign,benign,2
benign (219).png,benign (272).png,benign,benign,4
benign (222).png,benign (267).png,benign,benign,0
benign (223).png,benign (257).png,benign,benign,2
benign (225).png,benign (292).png,benign,benign,0
benign (225).png,benign (293).png,benign,benign,2
benign (226).png,benign (263).png,benign,benign,0
benign (226).png,benign (278).png,benign,benign,2
benign (227).png,benign (250).png,benign,benign,4
benign (228).png,benign (306).png,benign,benign,0
benign (229).png,benign (259).png,benign,benign,2
benign (229).png,benign (280).png,benign,benign,4
benign (230).png,benign (252).png,benign,benign,2
benign (231).png,benign (295).png,benign,benign,2
benign (232).png,benign (276).png,benign,benign,2
benign (232).png,benign (287).png,benign,benign,2
benign (233).png,benign (299).png,benign,benign,0
benign (234).png,benign (261).png,benign,benign,0
benign (235).png,benign (294).png,benign,benign,0
benign (236).png,benign (247).png,benign,benign,2
benign (238).png,benign (300).png,benign,benign,2
benign (239).png,benign (258).png,benign,benign,0
benign (240).png,benign (255).png,benign,benign,4
benign (240).png,benign (277).png,benign,benign,2
benign (241).png,benign (266).png,benign,benign,2
benign (241).png,benign (279).png,benign,benign,2
benign (244).png,benign (251).png,benign,benign,2
benign (249).png,benign (282).png,benign,benign,2
benign (255).png,benign (277).png,benign,benign,2
