auc,sensitivity,specificity,balanced_acc,accuracy,tp,fn,tn,fp,best_epoch,epochs_run,val_fold,arch,minutes
0.9266837169650469,0.8529411764705882,0.8260869565217391,0.8395140664961637,0.8349514563106796,29,5,57,12,28,30,0,convnext_tiny,1.95
0.9624413145539907,0.9393939393939394,0.7746478873239436,0.8570209133589415,0.8269230769230769,31,2,55,16,21,28,1,convnext_tiny,1.72
0.9544600938967136,0.8666666666666667,0.8732394366197183,0.8699530516431925,0.8712871287128713,26,4,62,9,16,23,2,convnext_tiny,1.49
0.9016516516516516,0.8108108108108109,0.8194444444444444,0.8151276276276276,0.8165137614678899,30,7,59,13,30,30,3,convnext_tiny,1.84
0.8936293436293437,0.6,0.918918918918919,0.7594594594594595,0.8165137614678899,21,14,68,6,24,30,4,convnext_tiny,1.61
0.9616368286445013,0.9705882352941176,0.6956521739130435,0.8331202046035806,0.7864077669902912,33,1,48,21,10,17,0,densenet121,0.95
0.9385403329065302,0.8787878787878788,0.9436619718309859,0.9112249253094323,0.9230769230769231,29,4,67,4,18,25,1,densenet121,1.34
0.9492957746478874,0.8333333333333334,0.971830985915493,0.9025821596244132,0.9306930693069307,25,5,69,2,12,19,2,densenet121,1.06
0.9132882882882883,0.7837837837837838,0.9444444444444444,0.8641141141141141,0.8899082568807339,29,8,68,4,22,29,3,densenet121,1.55
0.9027027027027027,0.6571428571428571,0.8918918918918919,0.7745173745173746,0.8165137614678899,23,12,66,8,16,23,4,densenet121,1.25
0.8763853367433929,0.8235294117647058,0.8405797101449275,0.8320545609548167,0.8349514563106796,28,6,58,11,8,15,0,efficientnet_b0,0.91
0.9304310712761417,0.8181818181818182,0.7605633802816901,0.7893725992317542,0.7788461538461539,27,6,54,17,24,30,1,efficientnet_b0,1.26
0.9610328638497652,0.9666666666666667,0.8309859154929577,0.8988262910798122,0.8712871287128713,29,1,59,12,14,21,2,efficientnet_b0,0.98
0.8663663663663663,0.7567567567567568,0.7916666666666666,0.7742117117117118,0.7798165137614679,28,9,57,15,25,30,3,efficientnet_b0,1.27
0.9204633204633205,0.8,0.8918918918918919,0.845945945945946,0.8623853211009175,28,7,66,8,21,28,4,efficientnet_b0,1.0
0.9290281329923273,0.7647058823529411,0.927536231884058,0.8461210571184996,0.8737864077669902,26,8,64,5,17,24,0,resnet50,0.99
0.9180537772087068,0.8181818181818182,0.8873239436619719,0.852752880921895,0.8653846153846154,27,6,63,8,25,30,1,resnet50,1.26
0.9497652582159625,0.8333333333333334,0.9295774647887324,0.8814553990610329,0.900990099009901,25,5,66,5,23,30,2,resnet50,1.35
0.8545420420420421,0.5945945945945946,0.9166666666666666,0.7556306306306306,0.8073394495412844,22,15,66,6,15,22,3,resnet50,1.03
0.8752895752895752,0.5142857142857142,0.972972972972973,0.7436293436293436,0.8256880733944955,18,17,72,2,23,30,4,resnet50,1.35
